dataset;sent_acc;sent_sd;sent_max;sent_min;tok_acc;tok_sd;tok_max;tok_min;oov;oov_sd;oov_max;oov_min;time_real
urum_words.txt;38.80;2.16;45.05;32.21;85.84;0.61;87.59;84.44;21.32;0.72;22.85;19.45;11m06
urum_morphs.txt;48.16;2.62;54.05;41.44;93.02;0.67;94.45;91.64;4.27;0.40;5.00;3.22;18m12
brown_small.txt;19.01;3.11;28.65;11.70;90.27;0.81;91.86;87.15;14.45;0.66;16.55;12.66;8m12
brown_medium.txt;25.02;2.21;30.75;20.81;91.95;0.41;92.8;90.71;12.45;0.41;13.64;11.54;31m17
brown_words.txt;35.77;1.44;40.04;32.68;94.01;0.18;94.48;93.58;8.82;0.21;9.39;8.28;149m25
